airport_name,cancellation_reason,num_cancellations
"Latrobe, PA: Arnold Palmer Regional","Carrier""B",6
"Little Rock, AR: Bill and Hillary Clinton National","Carrier""B",6
"McAllen, TX: McAllen Miller International","Carrier""B",6
"Nantucket, MA: Nantucket Memorial","National Air System""D",6
"San Juan, PR: Luis Munoz Marin International","Carrier""B",6
"Sarasota, FL: Sarasota/Bradenton International","National Air System""D",6
"Shreveport, LA: Shreveport Regional","National Air System""D",6
"Trenton, NJ: Trenton-Mercer","Carrier""B",6
"Duluth, MN: Duluth International","National Air System""D",5
"Harrisburg, PA: Harrisburg International","National Air System""D",5
"Juneau, AK: Juneau International","Carrier""B",5
"Key West, FL: Key West International","National Air System""D",5
"Kona, HI: Ellison Onizuka Kona International","Carrier""B",5
"Mobile, AL: Mobile Regional","Carrier""B",5
"Montrose, CO: Montrose Regional","Carrier""B",5
"Springfield, MO: Springfield-Branson National","National Air System""D",5
"Valparaiso, FL: Destin-Fort Walton Beach","Carrier""B",5
"West Palm Beach, FL: Palm Beach International","Carrier""B",5
"Albany, NY: Albany International","Carrier""B",4
"Albany, NY: Albany International","National Air System""D",4
"Bakersfield, CA: Meadows Field","Carrier""B",4
"Champaign, IL: University of Illinois-Willard","National Air System""D",4
"Chattanooga, TN: Lovell Field","National Air System""D",4
"Columbia, SC: Columbia Metropolitan","Carrier""B",4
"Corpus Christi, TX: Corpus Christi International","Carrier""B",4
"Flint, MI: Bishop International","Carrier""B",4
"Fort Smith, AR: Fort Smith Regional","Carrier""B",4
"Gainesville, FL: Gainesville Regional","National Air System""D",4
"Gulfport, MS: Gulfport-Biloxi International","Carrier""B",4
"Killeen, TX: Killeen-Fort Hood Regional","National Air System""D",4
"Lafayette, LA: Lafayette Regional","Carrier""B",4
"Lansing, MI: Capital Region International","Carrier""B",4
"Long Beach, CA: Long Beach Airport","Carrier""B",4
"Montgomery, AL: Montgomery Regional","Carrier""B",4
"Peoria, IL: General Wayne A. Downing Peoria International","National Air System""D",4
"San Angelo, TX: San Angelo Regional","National Air System""D",4
"Sioux Falls, SD: Sioux Falls Regional","Carrier""B",4
"Toledo, OH: Toledo Express","National Air System""D",4
"Wilmington, NC: Wilmington International","National Air System""D",4
"Appleton, WI: Appleton International","National Air System""D",3
"Atlantic City, NJ: Atlantic City International","National Air System""D",3
"Atlantic City, NJ: Atlantic City International","Carrier""B",3
"Baton Rouge, LA: Baton Rouge Metropolitan","National Air System""D",3
"Bismarck, ND: Bismarck Municipal","Carrier""B",3
"Boise, ID: Boise Air Terminal","National Air System""D",3
"Charleston, WV: Yeager","National Air System""D",3
"Daytona Beach, FL: Daytona Beach International","National Air System""D",3
"Fresno, CA: Fresno Yosemite International","Carrier""B",3
"Harlingen, TX: Valley International","Carrier""B",3
"Islip, NY: Long Island MacArthur","National Air System""D",3
"Laredo, TX: Laredo International","National Air System""D",3
"Lincoln, NE: Lincoln","Carrier""B",3
"Moline, IL: Quad City International","National Air System""D",3
"Palm Springs, CA: Palm Springs International","Carrier""B",3
"Saginaw, MI: MBS International","National Air System""D",3
"Sitka, AK: Sitka Rocky Gutierrez","Carrier""B",3
"South Bend, IN: South Bend International","National Air System""D",3
"Spokane, WA: Spokane International","National Air System""D",3
"Vineyard Haven, MA: Martha's Vineyard","National Air System""D",3
"Abilene, TX: Abilene Regional","National Air System""D",2
"Aguadilla, PR: Rafael Hernandez","Carrier""B",2
"Arcata, CA: Arcata-Eureka","National Air System""D",2
"Bloomington, IL: Central Illinois Regional","Carrier""B",2
"Bloomington, IL: Central Illinois Regional","National Air System""D",2
"College Station, TX: Easterwood Field","National Air System""D",2
"Columbia, MO: Columbia Regional","National Air System""D",2
"Dubuque, IA: Dubuque Regional","National Air System""D",2
"Fairbanks, AK: Fairbanks International","Carrier""B",2
"Fayetteville, NC: Fayetteville Regional","National Air System""D",2
"Hilton Head, SC: Hilton Head","Carrier""B",2
"Jackson, WY: Jackson Hole","Carrier""B",2
"Jamestown, ND: Jamestown Regional","National Air System""D",2
"Joplin, MO: Joplin Regional","National Air System""D",2
"Kalamazoo, MI: Kalamazoo/Battle Creek International","National Air System""D",2
"La Crosse, WI: La Crosse Regional","National Air System""D",2
"Manhattan, KS: Manhattan Regional","National Air System""D",2
"Paducah, KY: Barkley Regional","National Air System""D",2
"Panama City, FL: Northwest Florida Beaches International","Carrier""B",2
"Ponce, PR: Mercedita","National Air System""D",2
"Rapid City, SD: Rapid City Regional","National Air System""D",2
"Sioux City, IA: Sioux Gateway","National Air System""D",2
"Springfield, IL: Abraham Lincoln Capital","National Air System""D",2
"Stillwater, OK: Stillwater Regional","National Air System""D",2
"Texarkana, AR: Texarkana Regional","National Air System""D",2
"Tyler, TX: Tyler Pounds Regional","National Air System""D",2
"Waco, TX: Waco Regional","Carrier""B",2
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal","National Air System""D",2
"Worcester, MA: Worcester Regional","Carrier""B",2
